"","Year","Month","Day","Sentiment","Count","Avg_Per"
"1","2020",1,29,"negative",100304,0.826870642017121
"2","2020",1,29,"neutral",14862,0.122653648628298
"3","2020",1,29,"positive",5904,0.050475709354581
"4","2020",1,30,"negative",87525,0.808246041874389
"5","2020",1,30,"neutral",13103,0.129362489939246
"6","2020",1,30,"positive",6596,0.0623914681863646
"7","2020",1,31,"negative",119826,0.82787942293584
"8","2020",1,31,"neutral",18107,0.124342802166402
"9","2020",1,31,"positive",6956,0.0477777748977583
"10","2020",2,1,"negative",115715,0.811954739900379
"11","2020",2,1,"neutral",17764,0.130508156573012
"12","2020",2,1,"positive",7422,0.0575371035266093
"13","2020",2,2,"negative",125394,0.824177579833722
"14","2020",2,2,"neutral",17389,0.114953066085949
"15","2020",2,2,"positive",8685,0.0608693540803291
"16","2020",2,3,"negative",139415,0.831809382846301
"17","2020",2,3,"neutral",16704,0.0996162648692001
"18","2020",2,3,"positive",11148,0.0685743522844987
"19","2020",2,4,"negative",132327,0.803605491592624
"20","2020",2,4,"neutral",22964,0.129761880065921
"21","2020",2,4,"positive",10843,0.0666326283414549
"22","2020",2,5,"negative",109437,0.760284530050825
"23","2020",2,5,"neutral",25815,0.178670791925142
"24","2020",2,5,"positive",8473,0.0610446780240336
"25","2020",2,6,"negative",93092,0.753116105851087
"26","2020",2,6,"neutral",21550,0.179740863024277
"27","2020",2,6,"positive",8003,0.0671430311246363
"28","2020",2,7,"negative",79267,0.712677534122236
"29","2020",2,7,"neutral",23076,0.200122038704883
"30","2020",2,7,"positive",9289,0.0872004271728811
"31","2020",2,8,"negative",88156,0.765518161607004
"32","2020",2,8,"neutral",18975,0.160844396741448
"33","2020",2,8,"positive",9347,0.0736374416515478
"34","2020",2,9,"negative",84573,0.784561287605213
"35","2020",2,9,"neutral",14560,0.136399407168416
"36","2020",2,9,"positive",8533,0.0790393052263716
"37","2020",2,10,"negative",92804,0.795563268593276
"38","2020",2,10,"neutral",15884,0.133148785135621
"39","2020",2,10,"positive",8238,0.0712879462711025
"40","2020",2,11,"negative",120261,0.80098144387383
"41","2020",2,11,"neutral",16576,0.113281321040684
"42","2020",2,11,"positive",12810,0.0857372350854861
"43","2020",2,12,"negative",110658,0.793321710502528
"44","2020",2,12,"neutral",16586,0.120709612055733
"45","2020",2,12,"positive",11911,0.0859686774417397
"46","2020",2,13,"negative",119000,0.834701482635731
"47","2020",2,13,"neutral",14464,0.101649075155442
"48","2020",2,13,"positive",8883,0.0636494422088275
"49","2020",2,14,"negative",97305,0.820535530292532
"50","2020",2,14,"neutral",14903,0.126328512228338
"51","2020",2,14,"positive",6155,0.0531359574791306
"52","2020",2,15,"negative",66597,0.776798230951989
"53","2020",2,15,"neutral",11234,0.136581908745506
"54","2020",2,15,"positive",7006,0.0866198603025048
"55","2020",2,16,"negative",58008,0.759318071508922
"56","2020",2,16,"neutral",12114,0.158963919339318
"57","2020",2,16,"positive",6182,0.0817180091517598
"58","2020",2,17,"negative",69304,0.740602186557649
"59","2020",2,17,"neutral",15816,0.170667354719324
"60","2020",2,17,"positive",8262,0.0887304587230272
"61","2020",2,18,"negative",80697,0.797787701873795
"62","2020",2,18,"neutral",13541,0.138472432314268
"63","2020",2,18,"positive",6091,0.0637398658119374
"64","2020",2,19,"negative",75796,0.817009316542555
"65","2020",2,19,"neutral",11563,0.124094962433561
"66","2020",2,19,"positive",5186,0.0588957210238843
"67","2020",2,20,"negative",69958,0.778197288083693
"68","2020",2,20,"neutral",12290,0.138511175123973
"69","2020",2,20,"positive",7022,0.0832915367923337
"70","2020",2,21,"negative",71272,0.785276445058392
"71","2020",2,21,"neutral",15200,0.155173899627837
"72","2020",2,21,"positive",5530,0.0595496553137708
"73","2020",2,22,"negative",63219,0.801082189130075
"74","2020",2,22,"neutral",11001,0.140809050411593
"75","2020",2,22,"positive",4742,0.0581087604583324
"76","2020",2,23,"negative",14229,0.864039071817676
"77","2020",2,23,"neutral",1365,0.0847220962043098
"78","2020",2,23,"positive",855,0.0512388319780141
"79","2020",2,24,"negative",110400,0.829148609567703
"80","2020",2,24,"neutral",13867,0.108285140923091
"81","2020",2,24,"positive",7250,0.0625662495092054
"82","2020",2,25,"negative",180476,0.856447818950236
"83","2020",2,25,"neutral",21809,0.0991714354138539
"84","2020",2,25,"positive",10000,0.0443807456359104
"85","2020",2,26,"negative",219638,0.861692444347328
"86","2020",2,26,"neutral",23396,0.0920963505945303
"87","2020",2,26,"positive",11726,0.0462112050581416
"88","2020",2,27,"negative",140623,0.864549173164177
"89","2020",2,27,"neutral",14503,0.0889708996903446
"90","2020",2,27,"positive",7619,0.0464799271454781
"91","2020",2,28,"negative",145119,0.851221018160479
"92","2020",2,28,"neutral",18701,0.109246383555571
"93","2020",2,28,"positive",6627,0.0395325982839498
"94","2020",2,29,"negative",129243,0.848007469792941
"95","2020",2,29,"neutral",17048,0.112127448716344
"96","2020",2,29,"positive",5980,0.0398650814907148
"97","2020",3,1,"negative",76045,0.830353354856259
"98","2020",3,1,"neutral",11729,0.117814908274342
"99","2020",3,1,"positive",4786,0.0518317368693989
"100","2020",3,2,"negative",71058,0.821040809130405
"101","2020",3,2,"neutral",9772,0.112879925686439
"102","2020",3,2,"positive",5767,0.0660792651831563
"103","2020",3,3,"negative",114104,0.815113702929451
"104","2020",3,3,"neutral",16200,0.123843962721781
"105","2020",3,3,"positive",7287,0.0610423343487683
"106","2020",3,4,"negative",166106,0.847639662811735
"107","2020",3,4,"neutral",21978,0.11483582997213
"108","2020",3,4,"positive",7254,0.0375245072161354
"109","2020",3,5,"negative",110528,0.850664447530486
"110","2020",3,5,"neutral",13000,0.10057040587301
"111","2020",3,5,"positive",6251,0.0487651465965042
"112","2020",3,6,"negative",114889,0.841376234499124
"113","2020",3,6,"neutral",13360,0.0982000543201701
"114","2020",3,6,"positive",8149,0.060423711180706
"115","2020",3,7,"negative",124766,0.847632504793588
"116","2020",3,7,"neutral",13841,0.0934995951910981
"117","2020",3,7,"positive",8393,0.0588679000153143
"118","2020",3,8,"negative",114280,0.832005016558635
"119","2020",3,8,"neutral",16164,0.118452830012907
"120","2020",3,8,"positive",6799,0.0495421534284573
"121","2020",3,9,"negative",115926,0.819362030882234
"122","2020",3,9,"neutral",15473,0.109645045162706
"123","2020",3,9,"positive",10644,0.0709929239550595
"124","2020",3,10,"negative",171822,0.838898486816793
"125","2020",3,10,"neutral",20577,0.100905813256212
"126","2020",3,10,"positive",12221,0.0601956999269944
"127","2020",3,11,"negative",170425,0.833374043089317
"128","2020",3,11,"neutral",20940,0.102216904004357
"129","2020",3,11,"positive",13254,0.0644090529063269
"130","2020",3,12,"negative",153053,0.822991255757505
"131","2020",3,12,"neutral",20000,0.107106038330782
"132","2020",3,12,"positive",12995,0.0699027059117131
"133","2020",3,13,"negative",159202,0.83533330563529
"134","2020",3,13,"neutral",19756,0.103819993523126
"135","2020",3,13,"positive",11537,0.0608467008415843
"136","2020",3,14,"negative",178902,0.841684778624223
"137","2020",3,14,"neutral",21478,0.0986246427032825
"138","2020",3,14,"positive",12938,0.0596905786724946
"139","2020",3,15,"negative",175465,0.818966460038885
"140","2020",3,15,"neutral",25339,0.117764991788614
"141","2020",3,15,"positive",13508,0.0632685481725007
"142","2020",3,16,"negative",176205,0.841330708674808
"143","2020",3,16,"neutral",19466,0.0927364008885692
"144","2020",3,16,"positive",13483,0.0659328904366234
"145","2020",3,17,"negative",386829,0.833160790210667
"146","2020",3,17,"neutral",45579,0.0980840212730413
"147","2020",3,17,"positive",31535,0.068755188516292
"148","2020",3,18,"negative",241786,0.846568160936447
"149","2020",3,18,"neutral",25328,0.0923916025793569
"150","2020",3,18,"positive",16926,0.0610402364841961
"151","2020",3,19,"negative",418491,0.848456895852842
"152","2020",3,19,"neutral",45157,0.0918629809468731
"153","2020",3,19,"positive",28849,0.0596801232002851
"154","2020",3,20,"negative",439397,0.859270782707017
"155","2020",3,20,"neutral",45096,0.087947554458986
"156","2020",3,20,"positive",26840,0.0527816628339976
"157","2020",3,21,"negative",449356,0.848209954015284
"158","2020",3,21,"neutral",48930,0.0925879560389568
"159","2020",3,21,"positive",30535,0.0592020899457588
"160","2020",3,22,"negative",425303,0.845815076610442
"161","2020",3,22,"neutral",51128,0.0994911408077238
"162","2020",3,22,"positive",27381,0.0546937825818346
"163","2020",3,23,"negative",359212,0.839640572740335
"164","2020",3,23,"neutral",41821,0.0981397062630594
"165","2020",3,23,"positive",26169,0.0622197209966057
"166","2020",3,24,"negative",94997,0.817623992727704
"167","2020",3,24,"neutral",13146,0.113602660413817
"168","2020",3,24,"positive",7967,0.0687733468584788
"169","2020",3,25,"negative",149673,0.822973125549314
"170","2020",3,25,"neutral",20532,0.110860292320652
"171","2020",3,25,"positive",11680,0.066166582130034
"172","2020",3,26,"negative",404234,0.850678957258963
"173","2020",3,26,"neutral",44766,0.0943190753432639
"174","2020",3,26,"positive",26007,0.0550019673977734
"175","2020",3,27,"negative",332813,0.855137168007856
"176","2020",3,27,"neutral",35537,0.0914262060693116
"177","2020",3,27,"positive",20715,0.0534366259228319
"178","2020",3,28,"negative",387482,0.840528591719862
"179","2020",3,28,"neutral",47640,0.104277896114364
"180","2020",3,28,"positive",25672,0.0551935121657736
"181","2020",3,29,"negative",423273,0.848786562664766
"182","2020",3,29,"neutral",44326,0.0896183409776941
"183","2020",3,29,"positive",29703,0.0615950963575398
"184","2020",3,30,"negative",248915,0.836966019023498
"185","2020",3,30,"neutral",28539,0.100096530288647
"186","2020",3,30,"positive",18068,0.0629374506878553
"187","2020",3,31,"negative",104416,0.826486925647979
"188","2020",3,31,"neutral",14021,0.110656817174493
"189","2020",3,31,"positive",7711,0.0628562571775289
"190","2020",4,1,"negative",247246,0.824984923815539
"191","2020",4,1,"neutral",31404,0.113192762327486
"192","2020",4,1,"positive",17829,0.0618223138569747
"193","2020",4,2,"negative",351053,0.840803581519478
"194","2020",4,2,"neutral",42132,0.10143858351356
"195","2020",4,2,"positive",23496,0.0577578349669622
"196","2020",4,3,"negative",367297,0.847848590290213
"197","2020",4,3,"neutral",41789,0.0967788690344351
"198","2020",4,3,"positive",23569,0.0553725406753522
"199","2020",4,4,"negative",396984,0.843931918528276
"200","2020",4,4,"neutral",45331,0.0959964584931348
"201","2020",4,4,"positive",27927,0.0600716229785891
"202","2020",4,5,"negative",395357,0.845439929955573
"203","2020",4,5,"neutral",45664,0.0974593030356495
"204","2020",4,5,"positive",26097,0.0571007670087778
"205","2020",4,6,"negative",383419,0.843101046186365
"206","2020",4,6,"neutral",45086,0.100858489229294
"207","2020",4,6,"positive",24936,0.0560404645843408
"208","2020",4,7,"negative",408612,0.849137951950583
"209","2020",4,7,"neutral",45844,0.0950565834510533
"210","2020",4,7,"positive",26560,0.0558054645983637
"211","2020",4,8,"negative",266948,0.841214187081233
"212","2020",4,8,"neutral",29124,0.0962375485263836
"213","2020",4,8,"positive",19374,0.062548264392383
"214","2020",4,9,"negative",252685,0.845453982946931
"215","2020",4,9,"neutral",27470,0.0972537416095407
"216","2020",4,9,"positive",16849,0.0572922754435281
"217","2020",4,10,"negative",408457,0.852919510517531
