"","V1","V2","V4","total"
"1","2020",1,"@spectatorindex",123397
"2","2020",1,"@WHO",105117
"3","2020",1,"@siwuol",67330
"4","2020",1,"@realDonaldTrump",66658
"5","2020",1,"@eyekon131",63249
"6","2020",2,"@realDonaldTrump",482373
"7","2020",2,"@OHmes2",140361
"8","2020",2,"@WHO",137482
"9","2020",2,"@washikirei",85241
"10","2020",2,"@naomusiker",80809
"11","2020",3,"@realDonaldTrump",1048196
"12","2020",3,"@narendramodi",172355
"13","2020",3,"@WHO",86786
"14","2020",3,"@intothebrush",85848
"15","2020",3,"@BarackObama",64668
"16","2020",4,"@realDonaldTrump",1324512
"17","2020",4,"@narendramodi",242063
"18","2020",4,"@CNN",216971
"19","2020",4,"@ConflitsFR",204724
"20","2020",4,"@WHO",173836
"21","2020",5,"@realDonaldTrump",1939343
"22","2020",5,"@CNN",284495
"23","2020",5,"@skaijackson",152123
"24","2020",5,"@JoeBiden",146611
"25","2020",5,"@RealJamesWoods",107064
"26","2020",6,"@realDonaldTrump",1906887
"27","2020",6,"@JoeBiden",353387
"28","2020",6,"@BrynnTannehill",154632
"29","2020",6,"@sheriantoinette",148799
"30","2020",6,"@angelicaxval",144571
"31","2020",7,"@realDonaldTrump",2889712
"32","2020",7,"@drdavidsamadi",413594
"33","2020",7,"@ProjectLincoln",304344
"34","2020",7,"@BernieSanders",201044
"35","2020",7,"@JoeBiden",160741
"36","2020",8,"@realDonaldTrump",2004728
"37","2020",8,"@DrRPNishank",841494
"38","2020",8,"@LicypriyaK",539883
"39","2020",8,"@narendramodi",497055
"40","2020",8,"@JoeBiden",400516
"41","2020",9,"@realDonaldTrump",2212580
"42","2020",9,"@JoeBiden",839837
"43","2020",9,"@Ibraofficial",207316
"44","2020",9,"@ProjectLincoln",121957
"45","2020",9,"@unicefchief",121252
"46","2020",10,"@realdonaldtrump",3504211
"47","2020",10,"@joebiden",1317612
"48","2020",10,"@flotus",259076
"49","2020",10,"@realDonaldTrump",231229
"50","2020",10,"@kamalaharris",197797
"51","2020",11,"@realdonaldtrump",1878390
"52","2020",11,"@joebiden",1343016
"53","2020",11,"@kamalaharris",308598
"54","2020",11,"@aoc",305711
"55","2020",11,"@donaldjtrumpjr",110701
"56","2020",12,"@realdonaldtrump",1379197
"57","2020",12,"@joebiden",318624
"58","2020",12,"@mippcivzla",283742
"59","2020",12,"@aoc",217431
"60","2020",12,"@yzngangel",121432
"61","2021",1,"@mippcivzla",773694
"62","2021",1,"@joebiden",347096
"63","2021",1,"@potus",223351
"64","2021",1,"@nicolasmaduro",220260
"65","2021",1,"@realdonaldtrump",201930
"66","2021",2,"@mippcivzla",508278
"67","2021",2,"@potus",442125
"68","2021",2,"@wendizzle",103011
"69","2021",2,"@rexchapman",87039
"70","2021",2,"@nicolasmaduro",83914
"71","2021",3,"@mippcivzla",1021619
"72","2021",3,"@vtvcanal8",329333
"73","2021",3,"@nicolasmaduro",288457
"74","2021",3,"@potus",209259
"75","2021",3,"@unicef",115345
"76","2021",4,"@mippcivzla",1467752
"77","2021",4,"@narendramodi",667705
"78","2021",4,"@vtvcanal8",385624
"79","2021",4,"@nicolasmaduro",282358
"80","2021",4,"@rahulgandhi",188820
"81","2021",5,"@narendramodi",742853
"82","2021",5,"@pmoindia",311620
"83","2021",5,"@kkmputrajaya",225261
"84","2021",5,"@tarak9999",191674
"85","2021",5,"@drrpnishank",152050
"86","2021",6,"@narendramodi",192684
"87","2021",6,"@jackposobiec",130914
"88","2021",6,"@theepex",100835
"89","2021",6,"@kkmputrajaya",88376
"90","2021",6,"@choloabel",76668
